"indicator_id","region_id","date","value","indicator","category","region_type","region"
"ZSFH","99968","2010-04-30","235778","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98802;WA;Wenatchee, WA;East Wenatchee;Douglas County"
"ZSFH","99971","2010-04-30","140664","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98812;WA;nan;Brewster;Okanogan County"
"ZSFH","99972","2010-04-30","82607","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98813;WA;Wenatchee, WA;Bridgeport;Douglas County"
"ZSFH","99973","2010-04-30","216678","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98814;WA;nan;Carlton;Okanogan County"
"ZSFH","99974","2010-04-30","208836","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98815;WA;Wenatchee, WA;Cashmere;Chelan County"
"ZSFH","99975","2010-04-30","295355","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98816;WA;Wenatchee, WA;Chelan;Chelan County"
"ZSFH","99976","2010-04-30","136183","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98817; WA; Wenatchee, WA; Chelan County; Chelan Falls"
"ZSFH","99977","2010-04-30","111010","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98819; WA; Okanogan County; Omak"
"ZSFH","99978","2010-04-30","181543","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98821; WA; Wenatchee, WA; Chelan County; Cashmere"
"ZSFH","99979","2010-04-30","168390","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98822;WA;Wenatchee, WA;Entiat;Chelan County"
"ZSFH","9998","2010-04-30","57383","ZHVI Single-Family Homes Time Series ($)","Home values","city","Birchleaf;VA;nan;Dickenson County"
"ZSFH","99980","2010-04-30","145438","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98823;WA;Moses Lake, WA;Ephrata;Grant County"
"ZSFH","99982","2010-04-30","289429","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98826;WA;Wenatchee, WA;Leavenworth;Chelan County"
"ZSFH","99983","2010-04-30","130694","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98827;WA;nan;Loomis;Okanogan County"
"ZSFH","99984","2010-04-30","191540","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98828;WA;Wenatchee, WA;Malaga;Chelan County"
"ZSFH","99985","2010-04-30","99536","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98829;WA;nan;Okanogan;Okanogan County"
"ZSFH","99986","2010-04-30","87499","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98830;WA;Wenatchee, WA;Bridgeport;Douglas County"
"ZSFH","99987","2010-04-30","266607","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98831;WA;Wenatchee, WA;Manson;Chelan County"
"ZSFH","99988","2010-04-30","102295","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98832; WA; Moses Lake; Grant County; Krupp"
"ZSFH","99989","2010-04-30","274293","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98833;WA;Bellingham, WA;nan;Whatcom County"
"ZSFH","9999","2010-04-30","159027","ZHVI Single-Family Homes Time Series ($)","Home values","city","Carrsville;VA;Virginia Beach-Norfolk-Newport News, VA-NC;Isle of Wight County"
"ZSFH","99990","2010-04-30","140490","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98834;WA;nan;Methow;Okanogan County"
"ZSFH","99991","2010-04-30","221646","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98836; WA; Wenatchee, WA; Chelan County; Cashmere"
"ZSFH","99992","2010-04-30","172588","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98837;WA;Moses Lake, WA;Moses Lake;Grant County"
"ZSFH","99993","2010-04-30","115201","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98840;WA;nan;Okanogan;Okanogan County"
"ZSFH","99994","2010-04-30","136082","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98841;WA;nan;Omak;Okanogan County"
"ZSFH","99995","2010-04-30","298717","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98843;WA;Wenatchee, WA;Orondo;Douglas County"
"ZSFH","99996","2010-04-30","161665","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98844;WA;nan;Oroville;Okanogan County"
"ZSFH","99997","2010-04-30","155548","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98845; WA; Wenatchee; Douglas County; Palisades"
"ZSFH","99998","2010-04-30","187258","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98846;WA;nan;Pateros;Okanogan County"
"ZSFH","99999","2010-04-30","205602","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98847;WA;Wenatchee, WA;Leavenworth;Chelan County"
"ZSFH","99959","2010-05-31","228996","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98674;WA;Longview, WA;Woodland;Clark County"
"ZSFH","99960","2010-05-31","259273","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98675;WA;Portland-Vancouver-Hillsboro, OR-WA;Yacolt;Clark County"
"ZSFH","99961","2010-05-31","207533","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98682;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99962","2010-05-31","256475","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98683;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99963","2010-05-31","211261","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98684;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99964","2010-05-31","270153","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98685;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99965","2010-05-31","269335","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98686;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99967","2010-05-31","214064","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98801;WA;Wenatchee, WA;Wenatchee;Chelan County"
"ZSFH","99968","2010-05-31","235556","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98802;WA;Wenatchee, WA;East Wenatchee;Douglas County"
"ZSFH","99971","2010-05-31","140271","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98812;WA;nan;Brewster;Okanogan County"
"ZSFH","99972","2010-05-31","82523","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98813;WA;Wenatchee, WA;Bridgeport;Douglas County"
"ZSFH","99973","2010-05-31","216488","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98814;WA;nan;Carlton;Okanogan County"
"ZSFH","99974","2010-05-31","208496","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98815;WA;Wenatchee, WA;Cashmere;Chelan County"
"ZSFH","99975","2010-05-31","294065","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98816;WA;Wenatchee, WA;Chelan;Chelan County"
"ZSFH","99976","2010-05-31","135135","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98817; WA; Wenatchee, WA; Chelan County; Chelan Falls"
"ZSFH","99977","2010-05-31","110066","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98819; WA; Okanogan County; Omak"
"ZSFH","99978","2010-05-31","181077","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98821; WA; Wenatchee, WA; Chelan County; Cashmere"
"ZSFH","99979","2010-05-31","168378","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98822;WA;Wenatchee, WA;Entiat;Chelan County"
"ZSFH","9998","2010-05-31","57045","ZHVI Single-Family Homes Time Series ($)","Home values","city","Birchleaf;VA;nan;Dickenson County"
"ZSFH","99980","2010-05-31","145642","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98823;WA;Moses Lake, WA;Ephrata;Grant County"
"ZSFH","99982","2010-05-31","289758","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98826;WA;Wenatchee, WA;Leavenworth;Chelan County"
"ZSFH","99983","2010-05-31","131578","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98827;WA;nan;Loomis;Okanogan County"
"ZSFH","99984","2010-05-31","190748","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98828;WA;Wenatchee, WA;Malaga;Chelan County"
